ID	parentID	basionymID	status	rank	scientificName	authorship	nameStatus	nameReferenceID	namePublishedInYear	namePublishedInPage	namePublishedInPageLink	referenceID	scrutinizer	scrutinizerDate	extinct	temporalRangeStart	temporalRangeEnd	remarks
xD8	xJ		accepted	genus	Abispa										f			
ZOBO00037061	xD8		accepted	species	Abispa australiana	Mitchell, 1838							Gusenleitner J.	2011-11	f			
ZOBO00032012	xD8		accepted	species	Abispa ephippium	(Fabricius, 1775)							Gusenleitner J.	2011-11	f			
ZOBO00043903	ZOBO00032012		accepted	subspecies	Abispa ephippium australis	Smith, 1857							Gusenleitner J.	2011-11	f			
ZOBO00037130	ZOBO00032012		accepted	subspecies	Abispa ephippium meadewaldoensis	Perkins, 1914							Gusenleitner J.	2011-11	f			
ZOBO00032013	xD8		accepted	species	Abispa eximia	(Smith, 1865)							Gusenleitner J.	2011-11	f			
ZOBO00032014	ZOBO00032013		accepted	subspecies	Abispa eximia tricincta	Vecht, 1960							Gusenleitner J.	2011-11	f			
ZOBO00032015	xD8		accepted	species	Abispa laticincta	Vecht, 1960							Gusenleitner J.	2011-11	f			
ZOBO00032016	ZOBO00032015		accepted	subspecies	Abispa laticincta melanopleura	Vecht, 1960							Gusenleitner J.	2011-11	f			
ZOBO00032017	xD8		accepted	species	Abispa ruficornis	Vecht, 1960							Gusenleitner J.	2011-11	f			
ZOBO00032018	xD8		accepted	species	Abispa splendida	(Guerin, 1838)							Gusenleitner J.	2011-11	f			
ZOBO00032019	ZOBO00032018		accepted	subspecies	Abispa splendida australis	Smith, 1857							Gusenleitner J.	2011-11	f			
ZOBO00032020	ZOBO00032018		accepted	subspecies	Abispa splendida maculicollis	Cameron, 1911							Gusenleitner J.	2011-11	f			
ZOBO00032021	ZOBO00032018		accepted	subspecies	Abispa splendida odyneroides	Perkins, 1912							Gusenleitner J.	2011-11	f			
xA8	xJ		accepted	genus	Acanthodynerus										f			
ZOBO00032022	xA8		accepted	species	Acanthodynerus giordanii	Gusenleitner, 1969							Gusenleitner J.	2011-11	f			
ZOBO00037502	xA8		accepted	species	Acanthodynerus multimaculatus	Gusenleitner, 2000							Gusenleitner J.	2011-11	f			
37	ZOBO00153100		synonym	species	Acarepipona curvirufolineata	(Cameron, 1910)									f			
39	ZOBO00153025		synonym	species	Acarepipona insolita	Giordani Soika, 1985									f			
41	ZOBO00153025		ambiguous synonym	species	Acarepipona pervigilans	(Giordani Soika, 1944)									f			
38	ZOBO00153099		ambiguous synonym	species	Acarepipona pervigilans	(Giordani Soika, 1944)									f			
xCQ	xJ		accepted	genus	Acarodynerus										f			
ZOBO00037122	xCQ		accepted	species	Acarodynerus atrorufus	Giordani Soika, 1993							Gusenleitner J.	2011-11	f			
ZOBO00037131	xCQ		accepted	species	Acarodynerus batchelorensis	Borsato, 1994							Gusenleitner J.	2011-11	f			
xBG	xJ		accepted	genus	Acarozumia										f			
ZOBO00032032	xCQ		accepted	species	Acarodynerus drewsenianus	Giordani Soika, 1961		ZOBO00032027					Gusenleitner J.	2011-11	f			
