col:ID	col:doi	col:type	col:author	col:editor	col:issued	col:title	col:containerAuthor	col:containerTitle	col:volume	col:issue	col:edition	col:page	col:publisher	col:publisherPlace	col:collectionTitle	col:collectionEditor	col:link	col:accessed	col:version	col:isbn	col:issn	col:remarks	col:citation
ZOBO00033752			Antonio Giordani Soika		1969	Eumenidi nuovi o poco conosciuti del Sahara spagnolo (Hym. Eumenidae)		EOS 44: (1969): EOS															Antonio Giordani Soika. Eumenidi nuovi o poco conosciuti del Sahara spagnolo (Hym. Eumenidae). EOS 44: (1969): EOS. (1969).
ZOBO00125574			Antonio Giordani Soika		1942	Vespidi mediterranei nuovi o poco noti		Boll.Soc.ent.ital. 74: (1942): Bollettino della Societá Entomologica Italiana															Antonio Giordani Soika. Vespidi mediterranei nuovi o poco noti. Boll.Soc.ent.ital. 74: (1942): Bollettino della Societá Entomologica Italiana. (1942).
ZOBO00124997			Antonio Giordani Soika		1943	Le specie indoaustraliane del genere Pachymenes (Hym. Vespidae)		Mem. Soc. Ent. Italiana 22: (1943): Mem. Soc. ent. ital.															Antonio Giordani Soika. Le specie indoaustraliane del genere Pachymenes (Hym. Vespidae). Mem. Soc. Ent. Italiana 22: (1943): Mem. Soc. ent. ital. (1943).
ZOBO00124995			Antonio Giordani Soika		1943	Le specie indoaustraliane del genere Pachymenes (Hym. Vespidae)		Mem. Soc. Ent. Italiana 22: (1943): Mem. Soc. ent. ital.															Antonio Giordani Soika. Le specie indoaustraliane del genere Pachymenes (Hym. Vespidae). Mem. Soc. Ent. Italiana 22: (1943): Mem. Soc. ent. ital. (1943).
ZOBO00125268			Antonio Giordani Soika		1935	Contributo alla conoscenza degli Eumenini Egiziani (Hymenoptera - Vespidae)		Bull.Soc.ent.Egypte 19: (1935): Bull. Soc. Roy. Entomol. Egypte															Antonio Giordani Soika. Contributo alla conoscenza degli Eumenini Egiziani (Hymenoptera - Vespidae). Bull.Soc.ent.Egypte 19: (1935): Bull. Soc. Roy. Entomol. Egypte. (1935).
ZOBO00036800			Jun-ichi Kojima		1999	Taxonomic notes on Australian Ropalidia Guérin-Méneville, 1831 (Hymnoptera: Vespidae. Polistinae)		Entomological Science 2: (1999): Entomological Science															Jun-ichi Kojima. Taxonomic notes on Australian Ropalidia Guérin-Méneville, 1831 (Hymnoptera: Vespidae. Polistinae). Entomological Science 2: (1999): Entomological Science. (1999).
ZOBO00036754			Antonio Giordani Soika		1935	Contributions à l'étude de la faune du Mozambique		Mems Estud.Mus.zool.Univ.Coimbra 82/I: (1935): Memórias e Estudos do Museu Zoológico da Universidade de Coimbra															Antonio Giordani Soika. Contributions à l'étude de la faune du Mozambique. Mems Estud.Mus.zool.Univ.Coimbra 82/I: (1935): Memórias e Estudos do Museu Zoológico da Universidade de Coimbra. (1935).
ZOBO00153770					2009	A Catalogue of the Eumeninae (Hymenoptera: Vespidae) of the Ethiopian Region excluding Malagasy Subregion. Part I: Introduction, Key to Genera, Genera Aethiopicodynerus GUSENLEITNER 1997 to Cyrtolabulus van der VECHT 1969		LBB 0041_1: diverse (2009): LBB 41/1/2009 992 pp.															James M. Carpenter, Josef Gusenleitner, Michael Madl. A Catalogue of the Eumeninae (Hymenoptera: Vespidae) of the Ethiopian Region excluding Malagasy Subregion. Part I: Introduction, Key to Genera, Genera Aethiopicodynerus GUSENLEITNER 1997 to Cyrtolabulus van der VECHT 1969. LBB 0041_1: diverse (2009): LBB 41/1/2009 992 pp. (2009).
ZOBO00036782			Jun-ichi Kojima		1999	Taxonomic notes on Australian Ropalidia Guérin-Méneville, 1831 (Hymnoptera: Vespidae. Polistinae)		Entomological Science 2: (1999): Entomological Science															Jun-ichi Kojima. Taxonomic notes on Australian Ropalidia Guérin-Méneville, 1831 (Hymnoptera: Vespidae. Polistinae). Entomological Science 2: (1999): Entomological Science. (1999).
ZOBO00034617			Antonio Giordani Soika		1957	Biogeografia evoluzione e sistematica dei Vespidi solitari della Polinesia meridionale		Boll.Mus.Civ.Stor.nat.Venezia 10: (1957): Bollettino del Museo Civico di Storia Naturale di Venezia															Antonio Giordani Soika. Biogeografia evoluzione e sistematica dei Vespidi solitari della Polinesia meridionale. Boll.Mus.Civ.Stor.nat.Venezia 10: (1957): Bollettino del Museo Civico di Storia Naturale di Venezia. (1957).
